Type,x,y,width,height,Destination,Direction,State
Collider,32,32,448,32,,,
Collider,32,64,32,224,,,
Collider,448,64,32,224,,,
Collider,32,288,448,32,,,
Collider,96,96,32,160,,,
Collider,128,96,64,32,,,
Collider,128,224,64,32,,,
Collider,160,160,192,32,,,
Collider,384,96,32,160,,,
Collider,320,96,64,32,,,
Collider,320,224,64,32,,,
Skeleton,192,96,32,32,,,
Skeleton,256,96,32,32,,,
Skeleton,352,256,32,32,,,
Bat,352,64,32,32,,,
Door,224,288,64,64,Room4,Down,Open
Door,448,144,64,64,Room6,Right,Locked
Key,192,64,32,32,,,
