Type,x,y,width,height,Destination,Direction,State
Collider,192,384,128,32,,,
Collider,288,416,160,32,,,
Collider,416,448,32,64,,,
Collider,448,512,32,32,,,
Collider,416,544,32,96,,,
Collider,352,448,32,128,,,
Collider,256,480,64,32,,,
Collider,288,512,32,128,,,
Collider,320,608,96,32,,,
Collider,192,544,64,32,,,
Collider,192,416,32,128,,,
Collider,64,416,128,32,,,
Collider,64,448,32,64,,,
Collider,32,512,32,32,,,
Collider,64,544,32,96,,,
Collider,96,608,128,32,,,
Collider,128,480,32,128,,,
Collider,224,640,64,32,,,
Key,416,512,32,32,,,
Skeleton,96,448,32,32,,,
Skeleton,96,544,32,32,,,
Skeleton,320,448,32,32,,,
Skeleton,384,544,32,32,,,
Door,224,640,64,64,Room3,Down,Open
Door,224,352,64,64,Room5,Up,Locked
